Date,Close,High,Low,Open,Volume
1980-12-12,0.09848485141992569,0.09891302266313988,0.09848485141992569,0.09848485141992569,469033600
1980-12-15,0.09334684908390045,0.09377502038474124,0.09334684908390045,0.09377502038474124,175884800
1980-12-16,0.08649539947509766,0.08692356511608458,0.08649539947509766,0.08692356511608458,105728000
1980-12-17,0.08863621950149536,0.08906439076477202,0.08863621950149536,0.08863621950149536,86441600
1980-12-18,0.09120599180459976,0.0916341573042555,0.09120599180459976,0.09120599180459976,73449600
1980-12-19,0.09677217900753021,0.09720035025572821,0.09677217900753021,0.09677217900753021,48630400
1980-12-22,0.10148207098245621,0.10191100844418598,0.10148207098245621,0.10148207098245621,37363200
1980-12-23,0.10576452314853668,0.10619269455468949,0.10576452314853668,0.10576452314853668,46950400
1980-12-24,0.11133064329624176,0.1117588144184484,0.11133064329624176,0.11133064329624176,48003200
1980-12-26,0.12160749733448029,0.12203566863142291,0.12160749733448029,0.12160749733448029,55574400
1980-12-29,0.12332013249397278,0.12374830365691514,0.12332013249397278,0.12332013249397278,93161600
1980-12-30,0.12032297253608704,0.12075113231946737,0.12032297253608705,0.12075113231946737,68880000
1980-12-31,0.11689761281013489,0.11732578398049098,0.11689761281013489,0.11732578398049098,35750400
1981-01-02,0.11818214505910873,0.11903848761844561,0.11818214505910873,0.11818214505910873,21660800
1981-01-05,0.11561314016580582,0.11604130001110441,0.11561314016580582,0.11604130001110441,35728000
1981-01-06,0.1104743555188179,0.11090252685212514,0.1104743555188179,0.11090252685212514,45158400
1981-01-07,0.10576452314853668,0.10619269455468949,0.10576452314853668,0.10619269455468949,55686400
1981-01-08,0.10362362861633301,0.1040517883389821,0.10362362861633301,0.1040517883389821,39827200
1981-01-09,0.10918979346752167,0.10961796456756584,0.10918979346752167,0.10918979346752167,21504000
1981-01-12,0.1083335131406784,0.10918984430541134,0.1083335131406784,0.10918984430541134,23699200
1981-01-13,0.10447996854782104,0.1049081397416245,0.10447996854782104,0.1049081397416245,23049600
1981-01-14,0.10490810871124268,0.10533627977839899,0.10490810871124268,0.10490810871124268,14291200
1981-01-15,0.10704898089170456,0.10790531181817571,0.10704898089170456,0.10704898089170456,14067200
1981-01-16,0.10619264841079712,0.10662081963089669,0.10619264841079712,0.10662081963089669,13395200
1981-01-19,0.1126151904463768,0.11304336174050399,0.1126151904463768,0.1126151904463768,41574400
1981-01-20,0.10918979346752167,0.10961796456756584,0.10918979346752167,0.10961796456756584,30083200
1981-01-21,0.11133064329624176,0.1121869741065983,0.11133064329624176,0.11133064329624176,15904000
1981-01-22,0.1126151904463768,0.11347153303463117,0.1126151904463768,0.1126151904463768,35548800
1981-01-23,0.11218705028295517,0.1130433931088355,0.11218705028295517,0.11261522169589533,11222400
1981-01-26,0.1104743555188179,0.11090252685212514,0.1104743555188179,0.11090252685212514,24640000
1981-01-27,0.10961799323558807,0.11047432422557364,0.10961799323558807,0.11047432422557364,23699200
1981-01-28,0.10619264841079712,0.10662081963089669,0.10619264841079712,0.10662081963089669,28156800
1981-01-29,0.10233917087316513,0.10276734226302489,0.10233917087316514,0.10276734226302489,43904000
1981-01-30,0.09677217900753021,0.0976285215039262,0.09677217900753021,0.0976285215039262,46188800
1981-02-02,0.09120599180459976,0.0916341573042555,0.09120599180459976,0.0916341573042555,23766400
1981-02-03,0.09463133662939072,0.09505950211981375,0.09463133662939072,0.09463133662939072,19152000
1981-02-04,0.09805670380592346,0.09848486366832725,0.09805670380592346,0.09805670380592346,27865600
1981-02-05,0.09805670380592346,0.09891303496479241,0.09805670380592346,0.09805670380592346,7929600
1981-02-06,0.09848485141992569,0.09891302266313988,0.09848485141992569,0.09848485141992569,13865600
1981-02-09,0.09334684908390045,0.09420318596855128,0.09334684908390045,0.09420318596855128,16755200
1981-02-10,0.09334684908390045,0.09377502038474124,0.09334684908390045,0.09334684908390045,18345600
1981-02-11,0.09034968167543411,0.09077784730108603,0.09034968167543411,0.09077784730108603,13843200
1981-02-12,0.08949257433414459,0.08992151176585902,0.08949257433414459,0.08992151176585902,14560000
1981-02-13,0.0873517170548439,0.08820805386347605,0.0873517170548439,0.08820805386347605,11155200
1981-02-17,0.08949257433414459,0.08992151176585902,0.08949257433414459,0.08949257433414459,12275200
1981-02-18,0.09334684908390045,0.09420318596855128,0.09334684908390045,0.09334684908390045,19241600
1981-02-19,0.08777987957000732,0.08820805081805573,0.08777987957000732,0.08820805081805573,22310400
